id,start_date,start_time,end_date,end_time,Progress,duration,UserLanguage,Allocate_IG_M_1,Allocate_IG_M_2,Allocate_OG_M_1,Allocate_OG_M_2,Allocate_TG_M_1,Allocate_TG_M_2,Allocate_IG_P_1,Allocate_IG_P_2,Allocate_OG_P_1,Allocate_OG_P_2,Allocate_TG_P_1,Allocate_TG_P_2,Allocate_IG_Nat_1,Allocate_IG_Nat_2,Allocate_OG_Nat_1,Allocate_OG_Nat_2,Allocate_TG_Nat_1,Allocate_TG_Nat_2,Q_Language,nationality,currency,conversionrate,dvorder,mingroup,ingroupletter,outgroupletter,role,type_group,playedwith,gamepayoff,totalpayoff,totalmoney
p001,4/4/22,3:01:21,4/4/22,3:10:50,100,568,EN-GB,NA,NA,NA,NA,NA,NA,20,0,20,0,10,10,20,0,20,0,10,10,EN-GB,British,£,0.067,attfirst,secondletter,M,K,allocator,nat_out,another national group,20,20,1.34
p002,4/4/22,3:03:15,4/4/22,3:15:19,100,724,EN-GB,5,15,5,15,10,10,NA,NA,NA,NA,NA,NA,5,15,5,15,10,10,EN-GB,British,£,0.067,attfirst,firstletter,H,J,recipient,nat_in_out,another national group,10,10,0.67
p003,4/4/22,3:07:41,4/4/22,3:15:35,100,473,EN-GB,NA,NA,NA,NA,NA,NA,15,5,18,2,18,2,18,2,15,5,8,12,EN-GB,British,£,0.067,attfirst,secondletter,J,H,recipient,nat_out_self,another national group,10,10,0.67
p004,4/4/22,3:01:33,4/4/22,3:15:48,100,855,EN-GB,NA,NA,NA,NA,NA,NA,10,10,10,10,10,10,10,10,10,10,10,10,EN-GB,British,£,0.067,allofirst,secondletter,M,K,allocator,min_in,Group M,10,10,0.67
p005,4/4/22,3:08:46,4/4/22,3:17:42,100,536,EN-GB,15,5,15,5,10,10,NA,NA,NA,NA,NA,NA,10,10,10,10,10,10,EN-GB,British,£,0.067,attfirst,firstletter,H,J,allocator,nat_in,your national group,10,10,0.67
p006,4/4/22,3:07:40,4/4/22,3:17:56,100,615,EN-GB,NA,NA,NA,NA,NA,NA,10,10,15,5,10,10,15,5,15,5,10,10,EN-GB,British,£,0.067,allofirst,secondletter,N,L,recipient,nat_in_out,another national group,10,10,0.67
p007,4/4/22,3:09:26,4/4/22,3:19:12,100,585,EN-GB,NA,NA,NA,NA,NA,NA,18,2,18,2,10,10,13,7,15,5,15,5,EN-GB,British,£,0.067,attfirst,secondletter,N,L,recipient,nat_out_self,another national group,10,10,0.67
p008,4/4/22,3:11:54,4/4/22,3:19:52,100,478,EN-GB,20,0,20,0,10,10,NA,NA,NA,NA,NA,NA,20,0,20,0,10,10,EN-GB,British,£,0.067,attfirst,firstletter,K,M,allocator,nat_out,another national group,20,20,1.34
p009,4/4/22,3:06:21,4/4/22,3:20:28,100,846,EN-GB,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,10,10,10,10,10,10,EN-GB,British,£,0.067,attfirst,firstletter,P,S,allocator,min_in,Group P,10,10,0.67
p010,4/4/22,3:09:21,4/4/22,3:21:14,100,713,EN-GB,NA,NA,NA,NA,NA,NA,10,10,15,5,10,10,15,5,15,5,10,10,EN-GB,British,£,0.067,allofirst,secondletter,J,H,recipient,nat_out_self,another national group,10,10,0.67
